sector,week_end_date,weekly_avg_close,revenue_ttm,eps_ttm,fcf_ttm,net_income_ttm,rev_qoq,rev_yoy,eps_qoq,eps_yoy,market_cap,pe_ttm,ps_ttm,fcf_yield_ttm,ret_1w,ret_4w,ret_12w,sma_4w,sma_12w,sma_24w,price_vs_sma_4w,price_vs_sma_12w,price_vs_sma_24w,Gross Margin %,Operating Income %,Net Profit %
Healthcare,2024-05-03,137,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,40103386947.6318,61.3774,12.4159,0.0254,0.0111,-0.037,0.0367,137.1845,138.8314,137.78,-0.0023,-0.0141,-0.0066,0.5442,0.2308,0.1958
Healthcare,2024-05-10,142,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,41684259112.5488,63.7969,12.9053,0.0245,0.0394,-0.003,0.0856,137.0772,139.7665,138.0791,0.0379,0.0179,0.0303,0.5442,0.2308,0.1958
Healthcare,2024-05-17,151,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,44121895181.2744,67.5277,13.66,0.0231,0.0585,0.1255,0.1439,141.2746,141.3456,138.8608,0.0659,0.0654,0.0844,0.5442,0.2308,0.1958
Healthcare,2024-05-24,151,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,44164182928.4668,67.5924,13.6731,0.0231,0.001,0.1134,0.1272,145.1141,142.7628,139.5591,0.0387,0.0558,0.0801,0.5442,0.2308,0.1958
Healthcare,2024-05-31,137,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,40225619308.4717,61.5645,12.4538,0.0254,-0.0892,0.003,-0.048,145.2184,142.1857,139.4329,-0.0546,-0.0344,-0.0154,0.5442,0.2308,0.1958
Healthcare,2024-06-07,131,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,38326137362.6709,58.6574,11.8657,0.0266,-0.0472,-0.0806,-0.0992,142.3531,140.9857,138.9789,-0.0811,-0.0722,-0.0588,0.5442,0.2308,0.1958
Healthcare,2024-06-14,130,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,38158724630.7373,58.4011,11.8138,0.0267,-0.0044,-0.1352,-0.1047,137.2651,139.7165,138.5417,-0.0512,-0.0679,-0.06,0.5442,0.2308,0.1958
Healthcare,2024-06-21,132,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,38573924354.5532,59.0366,11.9424,0.0264,0.0109,-0.1266,-0.0845,132.4952,138.7034,138.2136,-0.0064,-0.0508,-0.0475,0.5442,0.2308,0.1958
Healthcare,2024-06-28,131,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,38423457391.3574,58.8063,11.8958,0.0265,-0.0039,-0.0448,-0.0774,130.9575,137.7868,137.892,0.0014,-0.0483,-0.049,0.5442,0.2308,0.1958
Healthcare,2024-07-05,125,3230000000.0,2.23,1020000000.0,656000000.0,-0.0542,,-0.1102,,36667499664.3066,56.1189,11.3522,0.0278,-0.0457,-0.0433,-0.123,129.5423,136.3242,137.3377,-0.0339,-0.082,-0.0888,0.5442,0.2308,0.1958
